,timestamp,open,high,low,close,volume
373,2020-07-27 14:00:00,1.0102,1.0129,1.01,1.0109,52452
374,2020-07-27 13:00:00,1.0111,1.013,1.0101,1.0102,60234
375,2020-07-27 12:00:00,1.0104,1.0125,1.0102,1.0113,9859
376,2020-07-27 11:00:00,1.0105,1.0123,1.0101,1.0117,12274
377,2020-07-27 10:00:00,1.0108,1.0122,1.0102,1.0104,17398
378,2020-07-27 09:00:00,1.0126,1.013,1.01,1.0108,39745
379,2020-07-27 08:00:00,1.0128,1.013,1.0122,1.0122,31414
380,2020-07-27 07:00:00,1.0119,1.013,1.0119,1.013,20484
381,2020-07-27 06:00:00,1.0114,1.0125,1.0102,1.0119,28840
382,2020-07-27 05:00:00,1.0102,1.0125,1.0102,1.0114,48454
383,2020-07-27 04:00:00,1.0111,1.013,1.0101,1.0102,41776
384,2020-07-27 03:00:00,1.011,1.013,1.0101,1.0111,34059
385,2020-07-27 02:00:00,1.0095,1.0116,1.0075,1.011,45238
386,2020-07-27 01:00:00,1.0106,1.0108,1.009,1.0104,73569
387,2020-07-27 00:00:00,1.0102,1.0112,1.01,1.01,355663
388,2020-07-26 23:00:00,1.0119,1.0119,1.0092,1.0107,105882
389,2020-07-26 22:00:00,1.0105,1.0119,1.0103,1.0109,127335
390,2020-07-26 21:00:00,1.0119,1.013,1.01,1.0111,122411
391,2020-07-26 20:00:00,1.0139,1.0161,1.0118,1.0127,45389
392,2020-07-26 19:00:00,1.014,1.0167,1.0135,1.0161,3713
393,2020-07-26 18:00:00,1.0118,1.0168,1.0109,1.014,14278
394,2020-07-26 17:00:00,1.0117,1.0189,1.0112,1.013,26700
395,2020-07-26 16:00:00,1.0119,1.0119,1.0105,1.0117,5145
396,2020-07-26 15:00:00,1.0135,1.0141,1.005,1.0119,46074
397,2020-07-26 14:00:00,1.0089,1.0135,1.003,1.0135,68725
398,2020-07-26 13:00:00,1.0086,1.0089,1.006,1.0071,14637
399,2020-07-26 12:00:00,1.0052,1.0088,1.0046,1.0086,43514
400,2020-07-26 11:00:00,1.0066,1.007,1.0045,1.0052,12014
401,2020-07-26 10:00:00,1.0053,1.0066,1.0022,1.0041,76619
402,2020-07-26 09:00:00,1.0076,1.0091,1.0046,1.0053,19721
403,2020-07-26 08:00:00,1.0061,1.0095,1.0056,1.0086,21605
404,2020-07-26 07:00:00,1.0076,1.0083,1.0048,1.006,57067
405,2020-07-26 06:00:00,1.0095,1.0107,1.0061,1.0062,9737
406,2020-07-26 05:00:00,1.0119,1.0119,1.0074,1.0095,52487
407,2020-07-26 04:00:00,1.0133,1.0156,1.0117,1.0137,19589
408,2020-07-26 03:00:00,1.0088,1.0149,1.008,1.0126,43678
409,2020-07-26 02:00:00,1.0087,1.0088,1.0037,1.0088,10752
410,2020-07-26 01:00:00,1.0044,1.0142,1.0044,1.0087,160664
411,2020-07-26 00:00:00,1.0028,1.006,1.0027,1.0037,12327
412,2020-07-25 23:00:00,1.0037,1.006,1.0028,1.0028,35076
413,2020-07-25 22:00:00,1.0067,1.0071,1.0033,1.006,9989
414,2020-07-25 21:00:00,1.0071,1.0073,1.0031,1.0057,7354
415,2020-07-25 20:00:00,1.0077,1.0077,1.0031,1.0032,5432
416,2020-07-25 19:00:00,1.0064,1.0209,1.0027,1.0077,54051
417,2020-07-25 18:00:00,1.004,1.0058,1.003,1.0058,27912
418,2020-07-25 17:00:00,1.0053,1.007,1.004,1.004,25550
419,2020-07-25 16:00:00,1.0058,1.007,1.004,1.0069,26208
420,2020-07-25 15:00:00,1.0049,1.0069,1.0023,1.0066,23040
421,2020-07-25 14:00:00,1.0067,1.0068,1.0045,1.0063,35463
422,2020-07-25 13:00:00,1.0018,1.0081,1.0015,1.0064,209426
423,2020-07-25 12:00:00,1.005,1.008,1.0004,1.0018,123908
424,2020-07-25 11:00:00,1.0073,1.0106,1.0034,1.0052,461893
425,2020-07-25 10:00:00,1.0055,1.01,1.0017,1.0073,115570
426,2020-07-25 09:00:00,1.0059,1.0085,1.0053,1.0064,90880
427,2020-07-25 08:00:00,1.0113,1.0134,1.006,1.0089,115570
428,2020-07-25 07:00:00,1.0088,1.014,1.007,1.0112,131168
429,2020-07-25 06:00:00,1.0159,1.0178,1.0071,1.01,100717
430,2020-07-25 05:00:00,1.0185,1.0189,1.0154,1.0178,106296
431,2020-07-25 04:00:00,1.0217,1.0224,1.0172,1.019,59883
432,2020-07-25 03:00:00,1.0305,1.0329,1.0221,1.0221,52221
433,2020-07-25 02:00:00,1.0338,1.0359,1.0302,1.0305,18153
434,2020-07-25 01:00:00,1.036,1.036,1.0326,1.0347,40946
435,2020-07-25 00:00:00,1.0359,1.0372,1.033,1.0371,41878
436,2020-07-24 23:00:00,1.033,1.0384,1.033,1.0369,44462
437,2020-07-24 22:00:00,1.026,1.0347,1.0255,1.0335,35777
438,2020-07-24 21:00:00,1.0304,1.0345,1.026,1.026,33532
439,2020-07-24 20:00:00,1.0302,1.0346,1.0296,1.0301,35438
440,2020-07-24 19:00:00,1.03,1.033,1.0269,1.0308,92770
441,2020-07-24 18:00:00,1.0305,1.0342,1.0299,1.031,52200
442,2020-07-24 17:00:00,1.0315,1.0343,1.0304,1.0332,21395
443,2020-07-24 16:00:00,1.035,1.0354,1.0315,1.0315,19741
444,2020-07-24 15:00:00,1.0332,1.0358,1.0313,1.0336,45640
445,2020-07-24 14:00:00,1.0348,1.0348,1.0279,1.0301,40393
446,2020-07-24 13:00:00,1.03,1.039,1.03,1.0348,174374
447,2020-07-24 12:00:00,1.0352,1.0356,1.0288,1.031,59712
448,2020-07-24 11:00:00,1.035,1.04,1.034,1.034,68910
449,2020-07-24 10:00:00,1.0309,1.036,1.0305,1.035,43800
450,2020-07-24 09:00:00,1.0316,1.0366,1.0296,1.0347,108670
451,2020-07-24 08:00:00,1.033,1.0388,1.0295,1.0295,16723
452,2020-07-24 07:00:00,1.0294,1.0404,1.0288,1.0328,126295
453,2020-07-24 06:00:00,1.0277,1.0342,1.0272,1.0295,21276
454,2020-07-24 05:00:00,1.0285,1.0287,1.0266,1.0277,4742
455,2020-07-24 04:00:00,1.0293,1.0324,1.026,1.0277,74062
456,2020-07-24 03:00:00,1.027,1.0293,1.0259,1.0293,79806
457,2020-07-24 02:00:00,1.0249,1.0283,1.0231,1.0248,16591
458,2020-07-24 01:00:00,1.0295,1.0296,1.0249,1.0249,22851
459,2020-07-24 00:00:00,1.0341,1.0341,1.0249,1.0295,21013
460,2020-07-23 23:00:00,1.0325,1.0341,1.0288,1.0341,34747
461,2020-07-23 22:00:00,1.0325,1.0336,1.0295,1.0306,25550
462,2020-07-23 21:00:00,1.0343,1.0486,1.0298,1.0309,104966
463,2020-07-23 20:00:00,1.0317,1.0389,1.0303,1.0348,35727
464,2020-07-23 19:00:00,1.0296,1.0423,1.0281,1.0317,180214
465,2020-07-23 18:00:00,1.0293,1.0311,1.0267,1.0281,47140
466,2020-07-23 17:00:00,1.029,1.0319,1.0205,1.0278,101548
467,2020-07-23 16:00:00,1.0269,1.035,1.0202,1.0282,75499
468,2020-07-23 15:00:00,1.022,1.0299,1.019,1.0269,130815
469,2020-07-23 14:00:00,1.01,1.1414,1.01,1.0207,1211009
